Name,HÖHE,Layer,Position X,Position Y,Position Z,INFO,KOORDINATEN,MESSWERT,NUMMER
HP_FERTIG_OBERKANTE,51.35,HÖHEN,4462757.9250,5794086.1270,51.4890,,,,
HP_FERTIG_OBERKANTE,51.41,HÖHEN,4462754.0370,5794092.3780,51.5530,,,,
HP_FERTIG_OBERKANTE,51.37,HÖHEN,4462783.5140,5794078.3550,51.5130,,,,
HP_FERTIG_OBERKANTE,50.99,HÖHEN,4462763.7230,5794077.0880,51.1330,,,,
HP_FERTIG_OBERKANTE,51.40,HÖHEN,4462754.1420,5794094.1090,51.5430,,,,
HP_FERTIG_OBERKANTE,51.30,HÖHEN,4462763.9010,5794096.6700,51.4390,,,,
HP_FERTIG_OBERKANTE,51.26,HÖHEN,4462761.0150,5794101.8230,51.4010,,,,
HP_FERTIG_OBERKANTE,51.38,HÖHEN,4462756.4480,5794094.0810,51.5240,,,,
HP_FERTIG_OBERKANTE,51.36,HÖHEN,4462759.8400,5794097.9470,51.5000,,,,
HP_FERTIG_OBERKANTE,51.39,HÖHEN,4462780.2820,5794079.2770,51.5340,,,,
HP_FERTIG_OBERKANTE,51.47,HÖHEN,4462775.0340,5794078.5760,51.6080,,,,
HP_FERTIG_OBERKANTE,51.37,HÖHEN,4462789.3170,5794079.6710,51.5140,,,,
HP_FERTIG_OBERKANTE,51.40,HÖHEN,4462785.3390,5794079.5390,51.5360,,,,
HP_FERTIG_OBERKANTE,51.42,HÖHEN,4462769.6120,5794078.0270,51.5610,,,,
HP_FERTIG_OBERKANTE,50.88,HÖHEN,4462794.9410,5794117.1680,51.0220,,,,
HP_FERTIG_OBERKANTE,51.18,HÖHEN,4462783.8150,5794078.7670,52.7000,,,,
HP_FERTIG_OBERKANTE,51.50,HÖHEN,4462759.3280,5794076.4430,51.6380,,,,
HP_FERTIG_OBERKANTE,51.49,HÖHEN,4462764.2300,5794077.3340,51.6310,,,,
HP_FERTIG_OBERKANTE,51.23,HÖHEN,4462770.2770,5794102.1090,51.3720,,,,
HP_FERTIG_OBERKANTE,51.13,HÖHEN,4462783.4470,5794118.5480,51.2720,,,,
HP_FERTIG_OBERKANTE,51.01,HÖHEN,4462787.2610,5794119.0420,51.1450,,,,
HP_FERTIG_OBERKANTE,51.20,HÖHEN,4462778.1220,5794117.7600,51.3420,,,,
HP_FERTIG_OBERKANTE,51.13,HÖHEN,4462781.2690,5794115.9540,51.2680,,,,
HP_FERTIG_OBERKANTE,51.06,HÖHEN,4462783.2806,5794121.5943,51.2010,,,,
HP_FERTIG_OBERKANTE,51.10,HÖHEN,4462783.0200,5794123.4310,51.2380,,,,
HP_FERTIG_OBERKANTE,51.12,HÖHEN,4462784.9570,5794125.0070,51.2580,,,,
HP_FERTIG_OBERKANTE,51.13,HÖHEN,4462781.0070,5794122.5150,51.2700,,,,
HP_FERTIG_OBERKANTE,51.15,HÖHEN,4462780.7700,5794123.4300,51.2850,,,,
HP_FERTIG_OBERKANTE,51.14,HÖHEN,4462778.0430,5794109.8650,51.2810,,,,
HP_FERTIG_OBERKANTE,51.25,HÖHEN,4462776.2660,5794115.9920,51.3870,,,,
HP_FERTIG_OBERKANTE,51.27,HÖHEN,4462768.8500,5794104.2370,51.4060,,,,
HP_FERTIG_OBERKANTE,51.21,HÖHEN,4462773.1710,5794108.8710,51.3480,,,,
HP_FERTIG_OBERKANTE,51.21,HÖHEN,4462775.4030,5794116.6480,51.3500,,,,
HP_FERTIG_OBERKANTE,51.30,HÖHEN,4462775.8083,5794120.5117,51.4370,,,,
HP_FERTIG_OBERKANTE,51.33,HÖHEN,4462774.3140,5794122.9560,51.4710,,,,
HP_FERTIG_OBERKANTE,51.22,HÖHEN,4462774.6450,5794118.1300,51.3630,,,,
HP_FERTIG_OBERKANTE,51.23,HÖHEN,4462776.0810,5794118.9400,51.3690,,,,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462747.2600,5794124.9680,51.9410,,,,
HP_FERTIG_OBERKANTE,51.76,HÖHEN,4462747.1110,5794125.8570,51.8990,,,,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462746.3600,5794122.8520,51.9430,,,,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462747.8700,5794122.9730,51.9360,,,,
HP_FERTIG_OBERKANTE,51.82,HÖHEN,4462746.1570,5794127.1200,51.9610,,,,
HP_FERTIG_OBERKANTE,51.87,HÖHEN,4462743.5790,5794128.9110,52.0060,,,,
HP_FERTIG_OBERKANTE,51.89,HÖHEN,4462741.8290,5794130.7050,52.0330,,,,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462745.4630,5794126.5700,51.9410,,,,
HP_FERTIG_OBERKANTE,51.87,HÖHEN,4462745.3730,5794128.6670,52.0060,,,,
HP_FERTIG_OBERKANTE,51.77,HÖHEN,4462744.1830,5794116.3310,51.9130,,,,
HP_FERTIG_OBERKANTE,51.80,HÖHEN,4462743.9570,5794118.6540,51.9380,,,,
HP_FERTIG_OBERKANTE,51.69,HÖHEN,4462748.1730,5794114.7860,51.8280,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462745.8490,5794116.4400,51.8560,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462742.4860,5794119.0520,51.9480,,,,
HP_FERTIG_OBERKANTE,51.79,HÖHEN,4462747.5120,5794120.7950,51.9330,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462747.6360,5794121.7670,51.8860,,,,
HP_FERTIG_OBERKANTE,51.83,HÖHEN,4462742.7100,5794120.4480,51.9700,,,,
HP_FERTIG_OBERKANTE,51.77,HÖHEN,4462745.7450,5794119.9920,51.9110,,,,
HP_FERTIG_OBERKANTE,51.91,HÖHEN,4462742.2290,5794132.3900,52.0530,,,,
HP_FERTIG_OBERKANTE,51.88,HÖHEN,4462739.3480,5794121.3320,52.0170,,,,
HP_FERTIG_OBERKANTE,51.97,HÖHEN,4462731.0930,5794125.2400,52.1080,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462740.3600,5794122.8790,51.9530,,,,
HP_FERTIG_OBERKANTE,51.85,HÖHEN,4462740.1990,5794122.0230,51.9880,,,,
HP_FERTIG_OBERKANTE,51.99,HÖHEN,4462731.0440,5794122.6420,52.1350,,,,
HP_FERTIG_OBERKANTE,51.95,HÖHEN,4462741.8370,5794135.9920,52.0900,,,,
HP_FERTIG_OBERKANTE,52.00,HÖHEN,4462741.6820,5794137.5720,52.1420,,,,
HP_FERTIG_OBERKANTE,51.93,HÖHEN,4462731.7290,5794120.0310,52.0740,,,,
HP_FERTIG_OBERKANTE,51.89,HÖHEN,4462731.4540,5794118.8150,52.0270,,,,
HP_FERTIG_OBERKANTE,51.91,HÖHEN,4462740.6300,5794132.3000,52.0500,,,,
HP_FERTIG_OBERKANTE,51.91,HÖHEN,4462740.9550,5794129.5080,52.0500,,,,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462743.6660,5794133.3620,52.0040,,,,
HP_FERTIG_OBERKANTE,51.94,HÖHEN,4462740.9550,5794133.6760,52.0820,,,,
HP_FERTIG_OBERKANTE,51.89,HÖHEN,4462741.1190,5794126.8510,52.0310,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462740.8860,5794124.3000,51.9520,,,,
HP_FERTIG_OBERKANTE,51.77,HÖHEN,4462740.8960,5794123.2410,51.9080,,,,
HP_FERTIG_OBERKANTE,51.88,HÖHEN,4462741.9510,5794126.4520,52.0170,,,,
HP_FERTIG_OBERKANTE,51.82,HÖHEN,4462741.5380,5794124.8460,51.9580,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462750.7610,5794116.1490,51.8550,,,,
HP_FERTIG_OBERKANTE,51.48,HÖHEN,4462772.2040,5794129.8500,51.6160,,,,
HP_FERTIG_OBERKANTE,51.44,HÖHEN,4462773.2180,5794130.2650,51.5780,,,,
HP_FERTIG_OBERKANTE,51.50,HÖHEN,4462772.4120,5794131.4320,51.6390,,,,
HP_FERTIG_OBERKANTE,51.53,HÖHEN,4462771.1080,5794130.9130,51.6750,,,,
HP_FERTIG_OBERKANTE,51.47,HÖHEN,4462771.1280,5794127.7790,51.6050,,,,
HP_FERTIG_OBERKANTE,51.81,HÖHEN,4462762.9250,5794142.1720,51.9500,,,,
